pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
WASP-126,c,WASP-126 c,Transit Timing Variations,0,2,7.63000000,0.17000000,-0.17000000,0,,,,0,0.050000,,,1,85.500,,,1,0.20199,0.07740,-0.07740,0,Mass,,,,0,,,,0,0,0,0,0,04h13m29.73s,63.373865,-69d13m36.5s,-69.226807,234.00,15.00,-15.00,0,217.89,0.94,-0.94,0,10.800,0.500,0,V (Johnson),11.066,,0,5800.00,,,0,1.12,,,0,1.27,,,0,2019-12-05,Transiting Exoplanet Survey Satellite (TESS)
WASP-18,c,WASP-18 c,Transit Timing Variations,0,2,2.15580000,0.00640000,-0.00640000,0,0.035000,,,0,0.015000,,,1,,,,0,0.17368,0.03870,-0.03870,0,Mass,,,,0,,,,0,0,0,0,0,01h37m25.03s,24.354311,-45d40m40.4s,-45.677887,123.92,0.37,-0.37,0,123.92,0.37,-0.37,0,9.303,0.018,0,V (Johnson),9.166,,0,6400.00,,,0,1.22,,,0,1.23,,,0,2019-12-05,Transiting Exoplanet Survey Satellite (TESS)
DS Tuc A,b,DS Tuc A b,Transit,0,1,8.13826800,0.00001100,-0.00001100,0,,,,0,0.000000,,,0,89.500,0.340,-0.410,0,,,,0,,0.509,0.015,-0.015,0,,,,0,0,0,0,1,23h39m39.48s,354.914490,-69d11m44.7s,-69.195747,44.12,0.07,-0.07,0,44.12,0.07,-0.07,0,8.469,0.012,0,V (Johnson),8.319,,0,5428.00,80.00,-80.00,0,1.01,0.06,-0.06,0,0.96,0.03,-0.03,0,2019-07-11,Transiting Exoplanet Survey Satellite (TESS)
GJ 143,b,GJ 143 b,Transit,0,2,35.61253000,0.00060000,-0.00062000,0,0.191500,0.005800,-0.006300,0,0.188000,0.076000,-0.078000,0,89.330,0.150,-0.110,0,0.07142,0.00692,-0.00598,0,Mass,0.233,0.015,-0.014,0,7.00000,1.60000,-1.30000,0,0,0,0,1,03h26m59.22s,51.746769,-63d29m56.8s,-63.499100,16.33,0.01,-0.01,0,16.33,0.01,-0.01,0,7.870,,0,V (Johnson),7.679,,0,4640.00,100.00,-100.00,0,0.73,0.07,-0.07,0,0.69,0.03,-0.03,0,2019-04-25,Transiting Exoplanet Survey Satellite (TESS)
GJ 357,b,GJ 357 b,Transit,0,3,3.93072000,0.00008000,-0.00006000,0,0.035000,0.002000,-0.002000,0,,,,0,89.120,0.370,-0.310,0,0.00579,0.00098,-0.00098,0,Mass,0.109,0.007,-0.007,0,5.60000,1.70000,-1.30000,0,0,0,0,0,09h36m01.64s,144.006821,-21d39m38.9s,-21.660797,9.44,0.01,-0.01,0,9.44,0.01,-0.01,0,10.920,0.030,0,V (Johnson),9.880,,0,3505.00,51.00,-51.00,0,0.34,0.01,-0.01,0,0.34,0.01,-0.01,0,2019-08-15,Transiting Exoplanet Survey Satellite (TESS)
HD 1397,b,HD 1397 b,Transit,0,1,11.53533000,0.00079000,-0.00080000,0,0.109700,0.001100,-0.001300,0,0.251000,0.020000,-0.019000,0,88.990,0.670,-0.730,0,0.41500,0.02000,-0.02000,0,Mass,1.026,0.025,-0.027,0,0.47700,0.04300,-0.03800,0,0,0,0,1,00h17m47.15s,4.446472,-66d21m32.1s,-66.358910,79.75,0.17,-0.17,0,79.75,0.17,-0.17,0,7.781,0.011,0,V (Johnson),7.593,,0,5521.00,60.00,-60.00,0,1.32,0.04,-0.05,0,2.34,0.05,-0.06,0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
HD 15337,b,HD 15337 b,Transit,0,2,4.75615000,0.00017000,-0.00017000,0,0.052200,0.001200,-0.001200,0,0.090000,0.050000,-0.050000,0,88.500,0.600,-0.400,0,0.02363,0.00343,-0.00318,0,Mass,0.146,0.005,-0.005,0,9.30000,1.81000,-1.58000,0,0,0,0,1,02h27m28.38s,36.868240,-27d38m06.7s,-27.635206,44.87,0.07,-0.07,0,44.87,0.07,-0.07,0,9.088,0.018,0,V (Johnson),8.856,,0,5125.00,50.00,-50.00,0,0.90,0.03,-0.03,0,0.86,0.02,-0.02,0,2019-05-16,Transiting Exoplanet Survey Satellite (TESS)
HD 15337,c,HD 15337 c,Transit,0,2,17.17840000,0.00160000,-0.00160000,0,0.126800,0.003800,-0.003800,0,0.050000,0.060000,-0.040000,0,88.500,0.200,-0.100,0,0.02552,0.00573,-0.00532,0,Mass,0.213,0.011,-0.011,0,3.23000,0.90000,-0.72000,0,0,0,0,1,02h27m28.38s,36.868240,-27d38m06.7s,-27.635206,44.87,0.07,-0.07,0,44.87,0.07,-0.07,0,9.088,0.018,0,V (Johnson),8.856,,0,5125.00,50.00,-50.00,0,0.90,0.03,-0.03,0,0.86,0.02,-0.02,0,2019-05-16,Transiting Exoplanet Survey Satellite (TESS)
HD 202772 A,b,HD 202772 A b,Transit,0,1,3.30895800,0.00008300,-0.00008300,0,0.052080,0.000640,-0.000680,0,0.038000,0.042000,-0.027000,0,84.510,1.100,-0.820,0,1.01700,0.07000,-0.06800,0,Mass,1.545,0.052,-0.060,0,0.34300,0.04300,-0.03500,0,0,0,0,0,21h18m47.901s,319.699588,-26d36m58.95s,-26.616375,147.20,2.50,-2.40,0,162.19,2.43,-2.43,0,,,,,8.227,,0,6272.00,77.00,-71.00,0,1.72,0.06,-0.07,0,2.59,0.08,-0.09,0,2019-01-31,Transiting Exoplanet Survey Satellite (TESS)
HD 213885,b,HD 213885 b,Transit,0,2,1.00803500,0.00002100,-0.00002000,0,0.020120,0.000150,-0.000120,0,0.000000,,,0,80.090,0.620,-0.500,0,0.02778,0.00208,-0.00205,0,Mass,0.156,0.005,-0.005,0,9.15000,1.10000,-1.00000,0,0,0,0,0,22h35m56.32s,338.984650,-59d51m52.1s,-59.864468,47.97,0.14,-0.14,0,48.16,0.10,-0.10,0,7.996,0.002,0,V (Johnson),7.802,,0,5978.00,50.00,-50.00,0,1.07,0.02,-0.02,0,1.10,0.01,-0.01,0,2019-12-05,Transiting Exoplanet Survey Satellite (TESS)
GJ 143,c,HD 21749 c,Transit,0,2,7.78993000,0.00051000,-0.00044000,0,0.069500,0.002100,-0.002300,0,,,,0,88.900,0.500,-0.370,0,0.01164,,,1,Mass,0.080,0.006,-0.005,0,31.93000,,,1,0,0,0,0,03h26m59.22s,51.746769,-63d29m56.8s,-63.499100,16.33,0.01,-0.01,0,16.33,0.01,-0.01,0,7.870,,0,V (Johnson),7.679,,0,4640.00,100.00,-100.00,0,0.73,0.07,-0.07,0,0.69,0.03,-0.03,0,2019-04-25,Transiting Exoplanet Survey Satellite (TESS)
HD 219666,b,HD 219666 b,Transit,0,1,6.03607000,0.00064000,-0.00063000,0,0.063560,0.002650,-0.002650,0,0.000000,,,0,86.380,0.150,-0.150,0,0.05223,0.00409,-0.00409,0,Mass,0.420,0.015,-0.015,0,0.87000,0.12000,-0.11000,0,0,0,0,0,23h18m13.630s,349.556792,-56d54m13.630s,-56.903786,94.43,0.25,-0.25,0,94.43,0.25,-0.25,0,,,,,9.650,,0,5527.00,65.00,-65.00,0,0.92,0.03,-0.03,0,1.03,0.03,-0.03,0,2019-03-05,Transiting Exoplanet Survey Satellite (TESS)
HD 221416,b,HD 221416 b,Transit,0,1,14.27670000,0.00370000,-0.00370000,0,0.122800,0.002500,-0.002600,0,0.115000,0.034000,-0.030000,0,85.750,0.360,-0.350,0,0.19000,0.01800,-0.01800,0,Mass,0.836,0.031,-0.028,0,0.43100,0.06400,-0.06000,0,0,0,0,0,23h32m08.07s,353.033630,-21d48m05.1s,-21.801424,95.08,0.72,-0.72,0,95.80,0.73,-0.73,0,8.146,0.014,0,V (Johnson),7.908,,0,5080.00,90.00,-90.00,0,1.21,0.07,-0.07,0,2.94,0.06,-0.06,0,2019-04-18,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,b,HD 23472 b,Transit,0,2,17.66700000,0.14200000,-0.09500000,0,0.121000,0.001000,-0.001000,0,0.000000,,,0,,,,0,0.05638,0.00444,-0.04405,0,Mass,,,,0,,,,0,0,0,0,0,03h41m50.40s,55.459988,-62d46m01.5s,-62.767075,39.08,0.04,-0.04,0,39.08,0.04,-0.04,0,9.724,0.030,0,V (Johnson),9.385,,0,,,,0,0.75,0.04,-0.03,0,0.73,0.01,-0.01,0,2019-02-14,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,c,HD 23472 c,Transit,0,2,29.62500000,0.22400000,-0.17100000,0,0.170000,0.001000,-0.001000,0,0.000000,,,0,,,,0,0.05405,0.00337,-0.04333,0,Mass,,,,0,,,,0,0,0,0,0,03h41m50.40s,55.459988,-62d46m01.5s,-62.767075,39.08,0.04,-0.04,0,39.08,0.04,-0.04,0,9.724,0.030,0,V (Johnson),9.385,,0,,,,0,0.75,0.04,-0.03,0,0.73,0.01,-0.01,0,2019-02-14,Transiting Exoplanet Survey Satellite (TESS)
HD 2685,b,HD 2685 b,Transit,0,1,4.12688000,0.00005000,-0.00004000,0,0.056800,0.000600,-0.000600,0,0.091000,0.039000,-0.047000,0,89.252,0.415,-0.444,0,1.17000,0.12000,-0.12000,0,Mass,1.440,0.050,-0.050,0,,,,0,0,0,0,0,00h29m18.95s,7.328958,-76d18m14.62s,-76.304061,197.98,0.85,-0.70,0,197.98,0.78,-0.78,0,,,,,9.520,,0,6801.00,76.00,-76.00,0,1.43,0.05,-0.04,0,1.56,0.05,-0.05,0,2019-10-24,Transiting Exoplanet Survey Satellite (TESS)
HR 858,b,HR 858 b,Transit,0,3,3.58599000,0.00015000,-0.00015000,0,0.048000,0.001000,-0.001100,0,0.300000,,,1,85.500,1.500,-0.500,0,,,,0,,0.186,0.006,-0.006,0,,,,0,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,0.07,-0.07,0,31.99,0.07,-0.07,0,6.400,,0,V (Johnson),6.248,,0,6201.00,50.00,-50.00,0,1.15,0.07,-0.08,0,1.31,0.02,-0.02,0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
HR 858,c,HR 858 c,Transit,0,3,5.97293000,0.00060000,-0.00053000,0,0.067400,0.001400,-0.001600,0,0.190000,,,1,86.230,0.260,-0.260,0,,,,0,,0.173,0.006,-0.006,0,,,,0,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,0.07,-0.07,0,31.99,0.07,-0.07,0,6.400,,0,V (Johnson),6.248,,0,6201.00,50.00,-50.00,0,1.15,0.07,-0.08,0,1.31,0.02,-0.02,0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
HR 858,d,HR 858 d,Transit,0,3,11.23000000,0.00110000,-0.00100000,0,0.102700,0.002200,-0.002500,0,0.280000,,,1,87.430,0.180,-0.190,0,,,,0,,0.193,0.008,-0.007,0,,,,0,0,0,0,0,02h51m56.25s,42.984360,-30d48m52.3s,-30.814520,31.99,0.07,-0.07,0,31.99,0.07,-0.07,0,6.400,,0,V (Johnson),6.248,,0,6201.00,50.00,-50.00,0,1.15,0.07,-0.08,0,1.31,0.02,-0.02,0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,b,L 98-59 b,Transit,0,3,2.25314000,0.00002000,-0.00002000,0,0.023300,0.001700,-0.001700,0,0.100000,0.170000,-0.070000,0,88.700,0.800,-0.700,0,,,,0,,0.071,0.004,-0.004,0,,,,0,0,0,0,0,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,0.00,0.00,0,10.62,0.00,0.00,0,,,,,10.598,,0,3367.00,150.00,-150.00,0,0.31,0.01,-0.01,0,0.31,0.01,-0.01,0,2019-06-13,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,c,L 98-59 c,Transit,0,3,3.69062100,0.00001300,-0.00001400,0,0.032400,0.002300,-0.002400,0,0.090000,0.160000,-0.070000,0,89.300,0.400,-0.500,0,,,,0,,0.120,0.007,-0.006,0,,,,0,0,0,0,0,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,0.00,0.00,0,10.62,0.00,0.00,0,,,,,10.598,,0,3367.00,150.00,-150.00,0,0.31,0.01,-0.01,0,0.31,0.01,-0.01,0,2019-06-13,Transiting Exoplanet Survey Satellite (TESS)
L 98-59,d,L 98-59 d,Transit,0,3,7.45086000,0.00004000,-0.00005000,0,0.052000,0.004000,-0.004000,0,0.200000,0.320000,-0.160000,0,88.500,0.200,-0.500,0,,,,0,,0.140,0.012,-0.012,0,,,,0,0,0,0,0,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,0.00,0.00,0,10.62,0.00,0.00,0,,,,,10.598,,0,3367.00,150.00,-150.00,0,0.31,0.01,-0.01,0,0.31,0.01,-0.01,0,2019-06-13,Transiting Exoplanet Survey Satellite (TESS)
LHS 3844,b,LHS 3844 b,Transit,0,1,0.46292913,0.00000190,-0.00000190,0,0.006220,0.000170,-0.000170,0,,,,0,88.500,0.510,-0.510,0,,,,0,,0.116,0.002,-0.002,0,,,,0,0,0,0,0,22h41m58.10s,340.492104,-69d10m08.4s,-69.168986,14.90,0.01,-0.01,0,14.89,0.01,-0.01,0,15.260,0.030,0,V (Johnson),13.393,,0,3036.00,77.00,-77.00,0,0.15,0.01,-0.01,0,0.19,0.01,-0.01,0,2019-01-24,Transiting Exoplanet Survey Satellite (TESS)
